,reviews_classified_all
1031,trava toda hora nao processa operacoes simples ver os limites por exemplo visual horrivel dificil de mexer... pessimo em todos os sentidos
1032,se tivesse como dar 5 estrelas ainda seria pouco pra avaliar esse projeto de aplicativo toda vez que faco um login nao dura mais que 1 mes e diz que o login nao e mais valido e tem que ser criado um novo e as chaves pix nao prestam so recebem mas sempre que vai passar um pix diz que nao e possivel realizar a transferencia e o suporte e inexistente nao funciona nunca resolvem o problema esse e o pior aplicativo de banco do mundo tenho certeza disso vou fazer um novo login e mudar de banco recomendo a todos fazerem o mesmo
1033,o aplicativo esta otimo o maior problema e a conexao com o servidor
1034,desde a ultima atualizacao nao consigo fazer pagamentos com leitor de codigo de barras e nem com pix qr code pois o leitor nao funciona no aplicativo da caixa ja conferi todas as configuracoes do iphone e esta tudo certo
1035,melhorou um pouco a questao do acesso a conta mas agora o leitor de codigo de barras no aplicativo parou de funcionar tenho que digitar todos os numeros ola pessoal o botao do leitor do codigo de barras no aplicativo nao funciona em outro casos esta funcionando
1036,pix fica dando erro na consulta do extrato ou gerar recebimento de pix via qrcode so na segunda tentativa da certo
1037,excelente
1038,aplicativo nao funciona da varios erros nao consigo fazer transacoes de nenhum modo ligo na central pra pedir ajuda e falam que a minha conta nao esta localizada mas pra debitar e receber depositos ela existeagora transferir ou consultar qualquer coisa requer uma paciencia sem tamanho de horas de tentativa de login e erros sem fim
1039,faz meses que nao esta lendo o codigo de barras ai tenho que fazer um pix pra outra conta minha de outro banco pra poder efetuar pagamentos de boletos e também toda vida que o aplicativo reconhece algum pagamento também ou pix ao abrir o aplicativo sempre dar erro...nao salva os pix quando fazemos a gente que tem que favoritar enfim sao muitas coisinhas que da pra melhorar
1040,aplicativo trava demais e seria otimo colocaram a opcao de emitir o boleto do fies pois so e possivel emitir no proprio site que voce fora do ar
1041,o aplicativo ja molhou muito mas ainda precisa de mais cuidados para um aplicativo de um banco como a caixa a gente sempre espera o melhor
1042,de que adianta ter um aplicativo se qualquer coisinha que voce faz o banco cancela sua assinatura eletronica se eu quisesse ir na agencia resolver as coisas eu nao baixava aplicativo para ser ruim precisa melhorar muito ainda pessimo servico
1043,nao dos melhores mais anda bem ruim para fazer as coisas agora nao consigo pagar as conta de codigo de barras nao le de forma alguma
1044,aplicativo otimo cumpre tudo que promete faco todo por ele pixtransferenciapagamentos nao tenho oq reclamar... recomendo
1045,melhorou bastante mas nao parem por ai todo objetivo de nossa vida e sempre evoluir abcos
1046,aplicativo muito bom so as vzs fica fora do ar fora isso e excelente
1047,muito pratico me quebra um galhao so o fato de nao precisar ir ao banco ja esta valendo
1048,melhorou bastante antes tinha muita dificuldades pra fazer transacoes inclusive a area do pix e bem explicativa melhor que muitos outros bancos
1049,muito bom excelente
1050,sem duvida o aplicativo tem muito o que melhorar nao e tao ruim mas precisa se atualizar mais e tem um layout melhor tambem
1051,tudo fica mais simples com o banco federal rapido e pratico faco pagamentos de casa e nao enfrento mais fila na loterica
1052,esta complicado nao consigo acessar minha conta de forma alguma
1053,excelente
1054,a parte pra consultar os contratos do fgts nao estar funcionando
1055,aplicativo ruim sempre trava e fica saindo do ar pra piorar parou de reconhecer codigo de barras para pagamento de boletos
1056,pior aplicativo pior banco pior site pior tudo a fila nas agencias sao quilometricas tudo e uma burocracia infernal dificultam tudo leva 5 anos pra fazer algo que levaria 5 min
1057,bom aplicativo rapido seguro entretanto em dias uteis de pagamento e etc... trava demais nao consegue fazer nada poderiam melhorar
1058,absolutamente do nada me pediram para cadastrar meu telefone novamente eu nao consigo fazer nada sem ir a um caixa eletronico fui no meu computador e a mesma coisa aconteceu tenho ele ha 5 anos e ja acessei diversas vezes acho que voltamos pra 1901 e nao me avisaram banco completamente fora da realidade se nao fosse publico ja teria quebrado ou seja ainda pagamos a conta no final pela improdutividade de voces
1059,parabens pelo ti da caixa que nesta versao retirou a virgula para a escrita do valor agora precisamos copiar e colar em outro aplicativo nunca tinha imaginado uma solucao tao boa pra um aplicativo que mal tinha isso que funcionada parabens novamente
1060,tenho 6 contas cadastradas no aplicativo quando vou ver o extrato o aplicativo fecha
1061,aparece a mensagem sistema temporariamente indisponivel e a camera nao ler os codigos de barra e o pix
1062,pessimo se nao arrumar vou fechar a conta na caixa
1063,pode melhor reduzindo a instabilidade principalmente do sistema de biometria
1064,precisa melhorar
1065,buga toda hora pedindo a senha tento varias vezes e bloqueia o usuario faco de nono e continua o problema resolva isso pra nos vou ter que mudar de banco por conta disso
1066,aplicativo fecha sozinho quando tento rolar a pagina ja exclui e instalei o aplicativo e o problema continua nota 0 para a tecnologia da caixa precisa melhorar muito
1067,tenho saldo na conta e ao concluir aposta mega sena da saldo insuficiente para transacao
1068,o aplicativo em si esta muito bom nao tenho o que reclamar a unica coisa que nao to conseguindo e fazer deposito na boca do caixa mas de resto ta otimo
1069,esse carai tem algo contra ios ja tem um 3 meses que tento acessar minha conta e nao consigo
1070,o pior aplicativo de banco de todos impressionante como uma empresa do tamanho da caixa nao consegue contratar uma equipe eficiente ha anos e a mesma coisa instabilidade falha no login desconexao do id face pix fora do ar e lamentavel outros bancos estao anosluz da caixa
1071,por ser uma empresa publica cujo investimentos em melhorias ficam limitados por forca de lei o aplicativo funciona bem e fornece o que promete apesar de instabilidades que nao e exclusividade do aplicativo da caixa
1072,ta bom precisa melhorar que fica dando erro apenas
1073,desde a ultima atualizacao o aplicativo parou de conseguir ler o codigo de barras dos boletos e extremamente frustrante ter que digitar um por um dado que tenho que pagar varios boletos por dia se puderem auxiliar ou resolver tal problema agradeco e nao e so no meu celular pois ja tentei de outros dois celulares cadastrados na conta e o mesmo problema persiste
1074,entretanto possui navegacao clara e facil
1075,aplicativo usavel porem tem ajuste e refinamentos que poderia melhorar a experiencia de uso
1076,aplicativo frequentemente apresenta instabilidade precisa melhorar muuuiiiitttooooo
1077,o aplicativo e excelente porem alguns dias fica com essa informacao ao acessar e muitas vezes preciso para fazer pix obrigada
1078,para o iphone 13 tanto o qrcode do pix quanto o codigo de barras dos boletos o aplicativo nao consegue escanear o que testando no iphone 11 nao da problemas
1079,aplicativo instavel mal feito nao pode adicionar cartao na apple wallet alem dele excluir o face id aleatoriamente
1080,o aplicativo precisa se modernizar urgentemente fora que o pix sempre esta fora do ar um verdadeiro absurdo pra um bando desse porte
1081,agora a caixa tira dinheiro de sua conta tem um mes que tirou 15 reais
1082,aplicativo instavel nao consigo acessar minha conta isso e que corrigiram ne
1083,ultimamente nao serve para nada sempre dando esse erro cod 0227 quando nao e isso e preciso fazer um novo cadastro sendo que o cadastro ja existe corrijam os erros melhorem
1084,nao funciona horrivel nao le qr pra pix nem codigo de barras em pagamentos
1085,o aplicativo e otimo mas ultimamente esta instavel e dando muito erro de login fora isso e um excelente aplicativo faco tudo por ele
1086,prezados desenvolvedores melhores a estabilidade da conexao as vezes e uma batalha pra conseguir logar ja fiquei na mao em momentos que precisei fazer uso do aplicativo e constantemente da erro ao logar com face id sendo necessario por a senha novamente
1087,muitas vezes trava ou nao aparece o comprovante e sai da tela ja tivemos erro e acabou fazendo eu passar duas vezes o pix para a mesma pessoa
1088,o leitor de codigo de barras que ja era ruim ficou pessimo impossivel conseguir fazer a leitura das minhas contas pra pagar com ele
1089,apos a ultima atualizacao em 5 de maio o iphone nao le qrcod do pix
1090,era para ser um aplicativo melhor com menos erro
1091,antes demorava pra abrir e reconhecer os codigos copiados da area de transferencia isso parece estar resolvido
1092,precisa melhorar porque da muitoerro na biometria e o leitor nao funciona para pix e pagamentos e e somente esse aplicativo que fica assim em relacao aos outros bancos que eu tenho
1093,nao consigo vincular meu celular com as contas o aplicativo pede pra aguardar enquanto procura um apelido e nao sai desta tela
1094,depois da atualizacaoficava instavel para logarfui pagar umas contas e o leitor nao faz leitura do codigoe nao e defeito do codigopois em outro aplicativo o codigo e lido normalmente
1095,aplicativo fica fora do as frequentemente varias fezes tive que fazer pagamentos ou algum pix e nao consegui efetuar o pagamento porque o aplicativo nao estava funcionando nao pode confiar no aplicativo pois na hora h te deixa na mao
1096,otimo
1097,o aplicativo vive com instabilidade tenho duas contas logadas e ele vive dando erro nas duas entro em x conta e quando vejo foi logado a outra conta
1098,esta impossivel pagar com codigo de barras e qr code tenho que transferir para outro aplicativo de banco e assim conseguir pagar as contas
1099,aplicativo muito bom mas precisa melhorar no quesito conexao as vezes fica impossibilitado de conectar
1100,mesmo com dinheiro na conta nao consigo fazer pix ou pagamentos de boleto
1101,como sugestao indicaria a possibilidade por fazer varias operacoes no dda de uma vez possibilidade de aumento de limites apenas com validacoes do proprio cliente implementar interface do gerenciador caixa empresas tanto no aplicativo como tambem para clientes pf
1102,desloga direto sempre tenho que ta trocando senha preenchendo tudo de novo pra usar o aplicativo
1103,iptu agendado nao aparece na consulta das transacoes agendas estive na agencia pra verificar porem estava agendado mas nao aparece no aplicativo nao a opcao de consulta iptu
1104,tem dias que nem entra na conta da erro nao consegue nem ver o saldo e muito instavel quando recebo ja transfiro pra outro banco porque ja fiquei na mao na hora de fazer um pix e o aplicativo nao funcionava pior aplicativo de banco
1105,mais de 4 semanas sem conseguir acessar o aplicativo porque fica aparecendo mensagem de erro ja liguei na central da caixa e ate mesmo no suporte tecnico da apple a cada ligacao na caixa fico mais de 1h40 aguardando para ser atendida e nunca conseguem me ajudar estou nesse exato momento em uma ultima tentativa para tentar fazer esse aplicativo funcionar e a duracao da ligacao ja esta em 1h50 caso nao de certo vou cancelar essa conta isso ta me atrapalhando demais detalhe ja fui no banco caixa e ninguem consegue me ajudar também
1106,esse aplicativo e o melhor que tem tenho mais de seis aplicativos de bancos e esse e o melhor de todos e bom tambem porque tem muitas coisas de casa etc
1107,nao ler qr code na hora de fazer pix trava sempre fora que esse banco cobra taxa ate de voce respirar
